	Num_nodes	Num_malicious	consensus_percent	num_outbound_links	max_unl	min_unl	unl_threshold	overlappingUNLs	min_c2c_latency	max_c2c_latency	min_e2c_latency	max_e2c_latency	convergence_time	unprocessed_messages	total_messages_sent	unprocessed_messages ratio	noConvergence	malicious nodes portion
88	200	0	80	10	30	20	10	0	5	200	5	50	528	14796	39774	0.271138	0	0
89	200	2	80	10	30	20	10	0	5	200	5	50	526	14810	39609	0.272148	0	1
90	200	4	80	10	30	20	10	0	5	200	5	50	526	14813	39609	0.272188	0	2
91	200	8	80	10	30	20	10	0	5	200	5	50	526	14793	39586	0.27203499999999997	0	4
92	200	10	80	10	30	20	10	0	5	200	5	50	527	14802	39677	0.271701	0	5
93	200	16	80	10	30	20	10	0	5	200	5	50	551	14867	41645	0.263077	0	8
94	200	20	80	10	30	20	10	0	5	200	5	50	563	14842	42628	0.258256	0	10
95	200	30	80	10	30	20	10	0	5	200	5	50	548	14722	41236	0.26309	0	15
96	200	40	80	10	30	20	10	0	5	200	5	50	624	14880	47649	0.23797	0	20
97	200	42	80	10	30	20	10	0	5	200	5	50	624	14875	47634	0.23796599999999998	0	21
98	200	44	80	10	30	20	10	0	5	200	5	50	630	14800	48061	0.23544	0	22
99	200	46	80	10	30	20	10	0	5	200	5	50	744	14874	57486	0.205556	0	23
100	200	48	80	10	30	20	10	0	5	200	5	50	761	14827	58815	0.20133900000000002	0	24
101	200	50	80	10	30	20	10	0	5	200	5	50	763	14804	58957	0.200702	0	25
102	200	52	80	10	30	20	10	0	5	200	5	50	1657	0	93220	0.0	1	26
103	200	54	80	10	30	20	10	0	5	200	5	50	1631	0	93325	0.0	1	27
104	200	56	80	10	30	20	10	0	5	200	5	50	3430	0	134249	0.0	1	28
105	200	58	80	10	30	20	10	0	5	200	5	50	3244	0	135795	0.0	1	29
106	200	60	80	10	30	20	10	0	5	200	5	50	3400	0	143047	0.0	1	30
107	200	62	80	10	30	20	10	0	5	200	5	50	2530	0	124499	0.0	1	31
108	200	64	80	10	30	20	10	0	5	200	5	50	3528	0	153742	0.0	1	32
109	200	66	80	10	30	20	10	0	5	200	5	50	3549	0	153466	0.0	1	33
110	200	68	80	10	30	20	10	0	5	200	5	50	3832	5317	177592	0.029069099999999997	0	34
111	200	70	80	10	30	20	10	0	5	200	5	50	3280	9258	171169	0.0513116	0	35
112	200	72	80	10	30	20	10	0	5	200	5	50	3513	6805	181428	0.036152	0	36
113	200	74	80	10	30	20	10	0	5	200	5	50	3795	7317	204284	0.0345792	0	37
114	200	76	80	10	30	20	10	0	5	200	5	50	3769	7723	186401	0.0397839	0	38
115	200	78	80	10	30	20	10	0	5	200	5	50	4036	5136	209494	0.0239296	0	39
116	200	80	80	10	30	20	10	0	5	200	5	50	2684	0	149479	0.0	1	40
184	200	0	80	10	30	27	13	0.9	5	200	5	50	289	14204	20072	0.414401	0	0
185	200	0	80	10	30	27	13	0.91	5	200	5	50	289	14204	20072	0.414401	0	0
186	200	0	80	10	30	28	14	0.95	5	200	5	50	298	14343	21114	0.404518	0	0
187	200	0	80	10	30	29	14	0.99	5	200	5	50	316	14568	23093	0.386819	0	0
188	200	10	80	10	30	27	13	0.9	5	200	5	50	310	14519	22010	0.397465	0	5
189	200	10	80	10	30	27	13	0.91	5	200	5	50	310	14519	22010	0.397465	0	5
190	200	10	80	10	30	28	14	0.95	5	200	5	50	432	14262	31112	0.314321	0	5
191	200	10	80	10	30	29	14	0.99	5	200	5	50	408	14406	30598	0.32010500000000003	0	5
192	200	20	80	10	30	27	13	0.9	5	200	5	50	367	14672	26360	0.357575	0	10
193	200	20	80	10	30	27	13	0.91	5	200	5	50	367	14672	26360	0.357575	0	10
194	200	20	80	10	30	28	14	0.95	5	200	5	50	388	14517	28218	0.339698	0	10
195	200	20	80	10	30	29	14	0.99	5	200	5	50	324	14599	23547	0.382714	0	10
196	200	30	80	10	30	27	13	0.9	5	200	5	50	362	14813	25727	0.365392	0	15
197	200	30	80	10	30	27	13	0.91	5	200	5	50	362	14813	25727	0.365392	0	15
198	200	30	80	10	30	28	14	0.95	5	200	5	50	508	14609	38110	0.277111	0	15
199	200	30	80	10	30	29	14	0.99	5	200	5	50	347	14675	25573	0.364614	0	15
200	200	40	80	10	30	27	13	0.9	5	200	5	50	580	14983	43811	0.254839	0	20
201	200	40	80	10	30	27	13	0.91	5	200	5	50	580	14983	43811	0.254839	0	20
202	200	40	80	10	30	28	14	0.95	5	200	5	50	515	14638	39154	0.272122	0	20
203	200	40	80	10	30	29	14	0.99	5	200	5	50	364	14679	26640	0.35525999999999996	0	20
204	200	42	80	10	30	27	13	0.9	5	200	5	50	363	14597	26360	0.356398	0	21
205	200	42	80	10	30	27	13	0.91	5	200	5	50	363	14597	26360	0.356398	0	21
206	200	42	80	10	30	28	14	0.95	5	200	5	50	517	14597	39257	0.271048	0	21
207	200	42	80	10	30	29	14	0.99	5	200	5	50	348	14726	25403	0.366967	0	21
208	200	44	80	10	30	27	13	0.9	5	200	5	50	398	14424	28677	0.334656	0	22
209	200	44	80	10	30	27	13	0.91	5	200	5	50	398	14424	28677	0.334656	0	22
210	200	44	80	10	30	28	14	0.95	5	200	5	50	552	14866	42024	0.261311	0	22
211	200	44	80	10	30	29	14	0.99	5	200	5	50	1631	0	86759	0.0	1	22
